                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5497,                 1.8042,                 1.4354,                 0.2196,                 0.2907,                0.14473,                0.06032,                 1.8933,                 3.3692,                 1.7156,             0.00066463,             0.00066463,             0.00066463
                      2,                 1.7193,                 1.7913,                 1.5839,                0.17201,                0.20349,                0.10075,                0.04134,                  2.158,                 2.8815,                  1.969,              0.0013181,              0.0013181,              0.0013181
                      3,                 1.7636,                 1.8385,                 1.6254,                0.17079,                0.24728,                0.08775,                0.04094,                 1.9724,                 3.1718,                 1.8251,              0.0019584,              0.0019584,              0.0019584
                      4,                 1.7494,                  1.796,                 1.6257,                0.19512,                0.23837,                0.10894,                 0.0442,                 2.0559,                 3.2863,                 1.8552,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.7137,                 1.7468,                 1.6007,                0.20103,                0.24419,                0.11907,                0.05086,                 1.9636,                 2.8075,                 1.8645,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.6854,                 1.6977,                 1.5811,                0.24915,                0.30233,                 0.1491,                0.06747,                 1.8927,                 2.5467,                 1.7822,              0.0019208,              0.0019208,              0.0019208
                      7,                  1.655,                 1.6626,                 1.5588,                0.26928,                0.34302,                0.17675,                0.07708,                 1.9194,                 2.5187,                 1.7718,               0.001901,               0.001901,               0.001901
                      8,                  1.631,                 1.6318,                 1.5497,                0.23953,                0.34012,                0.16179,                0.07085,                 1.7879,                 2.4865,                  1.647,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6328,                 1.6168,                 1.5345,                0.21681,                0.34884,                 0.1509,                0.06726,                 1.8354,                 2.6541,                 1.7242,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6085,                 1.5725,                 1.5204,                0.23327,                0.35756,                0.15713,                0.07282,                 1.8129,                  2.502,                 1.6738,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.5895,                 1.5637,                 1.5126,                0.21218,                0.34683,                0.15323,                0.06862,                 1.7817,                 2.9628,                 1.6822,              0.0018218,              0.0018218,              0.0018218
                     12,                  1.577,                 1.5427,                 1.5123,                0.26248,                0.31554,                0.17668,                 0.0851,                 1.7686,                 2.4637,                 1.6575,               0.001802,               0.001802,               0.001802
                     13,                  1.575,                 1.5377,                  1.506,                0.25233,                0.39244,                0.17921,                0.08251,                 1.7318,                 2.7184,                 1.6222,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5748,                 1.5259,                 1.4993,                0.23358,                0.38663,                0.17259,                0.08275,                  1.762,                 2.3872,                 1.6428,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5555,                 1.5142,                 1.4861,                0.25442,                0.37791,                0.18386,                 0.0875,                 1.7691,                 2.3234,                 1.6367,              0.0017426,              0.0017426,              0.0017426
                     16,                  1.545,                  1.474,                 1.4736,                0.26456,                 0.3179,                0.17586,                0.08255,                 1.7714,                 2.4257,                 1.6261,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.5509,                 1.4738,                 1.4819,                0.25162,                0.37791,                0.19896,                0.09474,                 1.7293,                 2.2867,                 1.6096,               0.001703,               0.001703,               0.001703
                     18,                 1.5318,                 1.4677,                 1.4746,                0.23938,                0.39535,                0.17628,                0.08969,                 1.6957,                 2.3233,                 1.5976,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.5202,                 1.4481,                 1.4629,                0.25886,                0.43605,                 0.1998,                0.09387,                 1.7216,                 2.4189,                 1.6061,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5139,                 1.4339,                 1.4586,                0.25619,                0.43314,                0.18297,                0.09073,                 1.7098,                 2.3181,                 1.6111,              0.0016436,              0.0016436,              0.0016436
                     21,                  1.519,                 1.4337,                 1.4535,                0.25526,                0.38953,                0.20154,                0.09854,                 1.6634,                 2.2376,                 1.5719,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.5041,                 1.4056,                 1.4532,                0.26121,                0.38081,                0.20011,                0.10093,                 1.7093,                 2.2638,                 1.5913,               0.001604,               0.001604,               0.001604
                     23,                 1.5015,                 1.4051,                 1.4439,                0.30394,                0.42733,                0.21619,                 0.1044,                 1.7014,                 2.4354,                 1.5943,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.4929,                 1.4008,                 1.4442,                0.30363,                0.42151,                0.20709,                0.09895,                 1.6462,                 2.4895,                 1.5494,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.5021,                 1.4002,                 1.4418,                0.28198,                0.43314,                 0.2089,                0.10153,                 1.6757,                 2.3843,                 1.5682,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.5001,                    1.4,                 1.4405,                0.26241,                0.44574,                0.20057,                 0.0931,                 1.6847,                 2.2595,                 1.5924,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.4773,                 1.3698,                 1.4302,                0.28153,                0.44477,                0.20954,                 0.1031,                 1.6971,                 2.2883,                  1.563,               0.001505,               0.001505,               0.001505
                     28,                 1.4754,                 1.3662,                 1.4327,                0.28484,                0.35174,                0.19044,                0.09513,                 1.6829,                 2.4209,                 1.5744,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.462,                 1.3598,                 1.4244,                 0.2913,                0.36047,                0.19726,                0.10332,                 1.6892,                 2.3186,                 1.6361,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.4662,                 1.3577,                 1.4293,                0.29011,                0.39244,                0.20899,                0.10691,                 1.6087,                 2.2665,                 1.5337,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.4531,                  1.335,                  1.421,                 0.3025,                 0.4186,                0.21387,                 0.1067,                 1.6677,                  2.418,                 1.5718,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.4464,                 1.3358,                 1.4123,                0.27631,                0.38847,                0.20694,                0.10329,                 1.6555,                 2.2126,                 1.5457,               0.001406,               0.001406,               0.001406
                     33,                 1.4517,                 1.3106,                 1.4145,                0.28604,                0.42442,                0.20961,                  0.108,                 1.6423,                 2.2874,                  1.586,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.4335,                 1.3083,                 1.4066,                0.28225,                0.43023,                0.20419,                0.10114,                 1.6248,                 2.2517,                 1.5415,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.4298,                 1.3095,                 1.4115,                0.27583,                0.45349,                0.20691,                0.10806,                 1.5939,                 2.2492,                 1.5114,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.4321,                 1.3016,                 1.4051,                0.26031,                 0.4358,                0.20308,                0.10303,                 1.7078,                 2.2394,                 1.5906,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.4354,                 1.3014,                 1.4041,                0.29794,                0.43314,                0.22538,                0.11183,                 1.6663,                 2.1658,                 1.5702,               0.001307,               0.001307,               0.001307
                     38,                 1.4342,                 1.2922,                 1.3962,                0.27839,                0.46092,                0.23187,                0.11477,                 1.6647,                 2.1833,                 1.5455,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.4288,                 1.2842,                 1.3986,                0.29739,                0.39535,                0.20751,                0.10581,                 1.6591,                   2.28,                 1.5727,              0.0012674,              0.0012674,              0.0012674
                     40,                  1.422,                 1.2797,                 1.3922,                0.30498,                0.49365,                0.22821,                0.11674,                 1.6271,                 2.2182,                   1.54,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.4116,                 1.2673,                 1.3838,                0.29892,                0.43023,                0.22785,                0.11749,                 1.6152,                 2.1747,                 1.5245,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.4111,                 1.2664,                 1.3867,                0.29205,                0.46512,                0.23642,                0.12482,                 1.6172,                 2.1155,                 1.5335,               0.001208,               0.001208,               0.001208
                     43,                 1.4112,                 1.2466,                 1.3792,                0.27078,                0.45058,                0.21857,                0.11528,                 1.6057,                 2.1666,                 1.5234,              0.0011882,              0.0011882,              0.0011882
                     44,                  1.405,                 1.2399,                 1.3812,                0.30327,                0.49128,                0.25183,                0.12683,                 1.6205,                 2.1115,                 1.5259,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.4027,                 1.2521,                 1.3763,                0.28689,                0.49937,                0.23717,                0.12367,                  1.618,                 2.1294,                 1.5364,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.3906,                  1.231,                 1.3716,                0.31477,                0.44767,                0.25002,                0.12654,                 1.6396,                  2.106,                 1.5486,              0.0011288,              0.0011288,              0.0011288
                     47,                  1.385,                 1.2117,                 1.3643,                0.29556,                0.44477,                 0.2226,                0.11304,                 1.6598,                 2.2798,                 1.5585,               0.001109,               0.001109,               0.001109
                     48,                 1.3877,                 1.2092,                 1.3684,                0.27849,                0.44767,                0.21493,                0.10805,                 1.6296,                 2.2218,                 1.5135,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.3847,                 1.2151,                 1.3692,                0.27591,                0.44767,                0.22346,                0.11214,                 1.6385,                 2.2252,                 1.5252,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.3831,                 1.2085,                 1.3652,                0.29738,                0.45058,                 0.2203,                 0.1147,                 1.6397,                 2.2474,                 1.5225,              0.0010496,              0.0010496,              0.0010496
                     51,                  1.378,                 1.1986,                 1.3622,                0.28237,                0.50291,                 0.2236,                0.11335,                 1.6213,                 2.1859,                 1.5349,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.3869,                 1.1828,                 1.3559,                0.27952,                0.45349,                0.22243,                0.11396,                 1.5862,                 2.3013,                 1.4978,                0.00101,                0.00101,                0.00101
                     53,                 1.3739,                 1.1924,                 1.3558,                0.28067,                0.47093,                0.22286,                   0.12,                 1.5955,                 2.2075,                  1.516,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.3709,                 1.1917,                 1.3596,                0.27756,                0.43023,                0.21897,                0.11445,                 1.6138,                 2.2578,                 1.5337,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.3574,                 1.1738,                 1.3503,                0.30259,                0.43023,                0.22861,                0.11943,                  1.617,                 2.2021,                 1.5289,              0.0009506,              0.0009506,              0.0009506
