                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6053,                 1.7459,                 1.3342,                0.24449,                0.24647,                0.13635,                0.06497,                 1.7885,                 2.4891,                 1.4114,             0.00023727,             0.00023727,             0.00023727
                      2,                 1.6336,                 1.5614,                 1.3636,                0.27644,                0.22384,                 0.1244,                0.06284,                 1.7817,                 2.4276,                 1.4044,             0.00047057,             0.00047057,             0.00047057
                      3,                 1.6947,                 1.5801,                 1.3899,                0.20244,                0.24419,                0.09911,                0.04104,                 1.9344,                 2.9661,                  1.523,             0.00069915,             0.00069915,             0.00069915
                      4,                 1.6925,                 1.5787,                 1.4098,                0.27621,                0.21221,                0.12908,                0.05922,                 1.8624,                 2.4206,                 1.4872,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.6727,                 1.5374,                 1.3953,                0.19702,                0.27907,                0.11804,                0.05197,                 1.8984,                  2.688,                 1.4853,             0.00069279,             0.00069279,             0.00069279
                      6,                 1.6546,                 1.5239,                 1.3761,                0.26319,                0.28244,                0.15356,                 0.0751,                 1.7827,                 2.3149,                 1.4163,             0.00068573,             0.00068573,             0.00068573
                      7,                 1.6212,                 1.4738,                 1.3669,                0.26174,                0.26163,                0.13953,                0.06451,                 1.8476,                 2.4151,                 1.4862,             0.00067866,             0.00067866,             0.00067866
                      8,                 1.6401,                 1.4687,                 1.3704,                0.23849,                0.28198,                0.15866,                 0.0744,                 1.8063,                 2.2893,                 1.4112,             0.00067159,             0.00067159,             0.00067159
                      9,                 1.6106,                 1.4658,                 1.3652,                0.31071,                0.19263,                 0.1318,                0.06221,                 1.7567,                 2.5239,                 1.4005,             0.00066452,             0.00066452,             0.00066452
                     10,                  1.623,                 1.4598,                 1.3651,                0.20904,                0.27811,                0.13656,                0.06481,                 1.8162,                 2.4152,                 1.4315,             0.00065745,             0.00065745,             0.00065745
                     11,                 1.6131,                 1.4324,                 1.3514,                0.23011,                0.27616,                0.13055,                  0.062,                 1.8376,                 2.4331,                 1.4433,             0.00065038,             0.00065038,             0.00065038
                     12,                 1.5946,                  1.425,                 1.3323,                0.21107,                   0.25,                0.13463,                0.06383,                 1.7924,                 2.4935,                 1.3876,             0.00064331,             0.00064331,             0.00064331
                     13,                 1.6129,                 1.4165,                 1.3479,                0.24463,                0.28779,                0.15601,                0.07517,                 1.7961,                 2.3044,                 1.4055,             0.00063625,             0.00063625,             0.00063625
                     14,                 1.5777,                 1.3896,                 1.3405,                0.26654,                0.24191,                0.14651,                0.07075,                 1.7638,                 2.4058,                 1.3809,             0.00062918,             0.00062918,             0.00062918
                     15,                 1.5871,                 1.3992,                 1.3336,                0.23291,                0.34302,                0.16593,                0.08126,                 1.7066,                 2.1717,                 1.3221,             0.00062211,             0.00062211,             0.00062211
                     16,                 1.5887,                 1.3793,                  1.338,                0.30952,                0.25801,                0.17018,                 0.0818,                 1.7229,                 2.2532,                 1.3849,             0.00061504,             0.00061504,             0.00061504
                     17,                 1.5623,                  1.364,                 1.3213,                0.26427,                 0.2936,                0.15401,                0.07163,                 1.7728,                 2.3546,                 1.4178,             0.00060797,             0.00060797,             0.00060797
                     18,                 1.5688,                 1.3869,                 1.3348,                0.23471,                0.29942,                0.15854,                0.07762,                 1.7174,                  2.304,                 1.3693,              0.0006009,              0.0006009,              0.0006009
                     19,                 1.5495,                 1.3536,                 1.3234,                0.23527,                0.29942,                0.16632,                0.08629,                 1.6854,                 2.3535,                  1.372,             0.00059383,             0.00059383,             0.00059383
                     20,                 1.5633,                 1.3529,                 1.3176,                0.28006,                0.30814,                0.16567,                  0.079,                 1.6877,                 2.2842,                 1.3573,             0.00058677,             0.00058677,             0.00058677
                     21,                 1.5726,                  1.359,                  1.327,                0.22029,                0.33721,                0.14616,                0.06843,                 1.7328,                 2.3187,                 1.3571,              0.0005797,              0.0005797,              0.0005797
                     22,                 1.5502,                 1.3306,                  1.323,                0.23378,                0.31105,                0.15597,                0.07592,                 1.7499,                 2.3316,                 1.3777,             0.00057263,             0.00057263,             0.00057263
                     23,                 1.5527,                 1.3245,                  1.313,                0.25154,                 0.2936,                0.16138,                 0.0824,                 1.7565,                 2.2039,                 1.3802,             0.00056556,             0.00056556,             0.00056556
                     24,                  1.542,                 1.3224,                 1.3158,                0.27415,                0.27907,                0.18905,                0.09671,                 1.6855,                 2.1814,                 1.3736,             0.00055849,             0.00055849,             0.00055849
                     25,                  1.504,                 1.3023,                 1.2977,                 0.3267,                0.22965,                0.16846,                0.08698,                 1.6533,                 2.1935,                 1.3593,             0.00055142,             0.00055142,             0.00055142
                     26,                 1.5066,                  1.313,                  1.303,                0.26613,                0.30233,                0.16806,                0.08554,                 1.6829,                 2.1864,                 1.3546,             0.00054435,             0.00054435,             0.00054435
                     27,                 1.5212,                 1.2916,                 1.3012,                0.24937,                0.32256,                0.17658,                  0.088,                 1.6777,                 2.2115,                   1.34,             0.00053728,             0.00053728,             0.00053728
                     28,                 1.5273,                 1.2995,                  1.299,                0.23113,                0.32849,                0.14773,                0.07203,                 1.7168,                 2.4245,                 1.3507,             0.00053022,             0.00053022,             0.00053022
                     29,                 1.5206,                  1.288,                 1.3046,                0.26001,                0.34422,                0.16817,                0.08513,                 1.6643,                 2.2442,                 1.3343,             0.00052315,             0.00052315,             0.00052315
                     30,                 1.5035,                  1.271,                 1.2865,                0.24045,                0.31395,                0.16029,                0.08062,                 1.6593,                 2.3195,                 1.3351,             0.00051608,             0.00051608,             0.00051608
                     31,                 1.5271,                 1.2891,                 1.3009,                0.22218,                0.29942,                0.15344,                 0.0743,                 1.7151,                 2.2858,                 1.3458,             0.00050901,             0.00050901,             0.00050901
                     32,                  1.514,                 1.2734,                 1.2948,                0.26022,                0.31977,                0.16694,                0.08526,                  1.665,                 2.3066,                 1.3008,             0.00050194,             0.00050194,             0.00050194
                     33,                 1.4995,                 1.2632,                 1.2887,                0.25324,                0.31395,                0.17957,                0.08827,                 1.6726,                 2.2743,                 1.3457,             0.00049487,             0.00049487,             0.00049487
                     34,                 1.5027,                 1.2716,                 1.2853,                0.23735,                0.34302,                0.17415,                0.08646,                 1.7247,                 2.2167,                 1.3558,              0.0004878,              0.0004878,              0.0004878
                     35,                 1.5173,                 1.2553,                 1.2914,                  0.259,                0.27616,                0.16664,                0.08574,                 1.6796,                 2.2774,                 1.3471,             0.00048074,             0.00048074,             0.00048074
                     36,                 1.4947,                 1.2611,                 1.2851,                0.29401,                0.25872,                0.16711,                0.08626,                 1.6594,                 2.2571,                 1.3205,             0.00047367,             0.00047367,             0.00047367
                     37,                  1.505,                 1.2532,                 1.2802,                0.24775,                 0.3314,                0.18126,                0.09211,                 1.6994,                   2.14,                 1.3384,              0.0004666,              0.0004666,              0.0004666
                     38,                 1.4906,                 1.2364,                 1.2873,                0.26844,                0.28161,                0.16601,                0.08575,                 1.6896,                 2.2556,                 1.3454,             0.00045953,             0.00045953,             0.00045953
                     39,                 1.4752,                 1.2413,                 1.2817,                0.27009,                 0.2907,                0.17103,                 0.0843,                 1.6872,                 2.2203,                 1.3325,             0.00045246,             0.00045246,             0.00045246
                     40,                 1.4622,                  1.227,                 1.2787,                0.28006,                0.31686,                0.19087,                0.10145,                  1.609,                 2.1129,                 1.3091,             0.00044539,             0.00044539,             0.00044539
                     41,                 1.4769,                 1.2053,                 1.2691,                 0.2497,                0.29651,                0.17632,                0.09005,                 1.6774,                 2.2135,                 1.3412,             0.00043832,             0.00043832,             0.00043832
                     42,                 1.4604,                 1.2164,                 1.2683,                 0.2468,                0.31395,                0.17051,                0.09072,                 1.6563,                 2.2163,                 1.3223,             0.00043126,             0.00043126,             0.00043126
                     43,                 1.4699,                 1.2196,                 1.2643,                0.24268,                0.30814,                0.16327,                0.08352,                 1.6338,                 2.2064,                 1.3186,             0.00042419,             0.00042419,             0.00042419
                     44,                  1.471,                 1.2181,                 1.2835,                0.31578,                 0.2936,                0.18647,                0.09328,                 1.6518,                 2.1866,                 1.3293,             0.00041712,             0.00041712,             0.00041712
                     45,                 1.4921,                 1.2098,                 1.2731,                0.27437,                0.30667,                0.17044,                 0.0852,                 1.6502,                  2.257,                 1.3161,             0.00041005,             0.00041005,             0.00041005
                     46,                 1.4568,                 1.1933,                 1.2688,                0.23053,                0.34302,                 0.1787,                0.09031,                 1.6638,                 2.2192,                  1.321,             0.00040298,             0.00040298,             0.00040298
                     47,                 1.4388,                 1.1784,                 1.2487,                0.31446,                0.30814,                0.17603,                  0.088,                 1.6657,                 2.2507,                 1.3306,             0.00039591,             0.00039591,             0.00039591
                     48,                 1.4629,                 1.2004,                 1.2667,                0.28038,                0.30523,                0.18663,                 0.0959,                 1.6575,                 2.2182,                  1.333,             0.00038884,             0.00038884,             0.00038884
                     49,                 1.4435,                 1.2004,                 1.2569,                0.30355,                0.32849,                0.20179,                0.10833,                 1.6447,                 2.1264,                 1.3229,             0.00038178,             0.00038178,             0.00038178
                     50,                 1.4426,                 1.1814,                 1.2504,                0.28166,                0.31686,                0.19459,                0.10205,                 1.6207,                 2.1601,                  1.303,             0.00037471,             0.00037471,             0.00037471
                     51,                 1.4384,                 1.1666,                 1.2465,                0.25848,                0.36337,                0.17333,                 0.0892,                  1.687,                 2.1844,                 1.3425,             0.00036764,             0.00036764,             0.00036764
                     52,                 1.4315,                 1.1853,                 1.2481,                0.28247,                0.32267,                0.18126,                0.09486,                 1.5897,                 2.2098,                 1.2949,             0.00036057,             0.00036057,             0.00036057
                     53,                 1.4068,                 1.1591,                 1.2504,                0.23888,                 0.3314,                0.18244,                0.09555,                 1.6243,                 2.2117,                 1.3153,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.4383,                 1.1652,                 1.2544,                0.27303,                0.30569,                0.18111,                0.09543,                 1.6498,                 2.2722,                 1.3329,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.4438,                 1.1485,                 1.2453,                0.27473,                0.30523,                0.17094,                0.09165,                 1.6388,                 2.2252,                 1.3173,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.4141,                 1.1587,                 1.2345,                0.31556,                0.27035,                0.17586,                0.09471,                 1.6072,                 2.2255,                 1.2862,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.4203,                 1.1585,                 1.2413,                0.26071,                0.34012,                0.18519,                0.09871,                 1.6407,                 2.1583,                 1.3177,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.3951,                 1.1212,                 1.2284,                0.23672,                0.34302,                0.17221,                0.08738,                 1.6331,                 2.2656,                  1.309,             0.00031816,             0.00031816,             0.00031816
                     59,                 1.4045,                 1.1446,                 1.2414,                0.25067,                0.36628,                0.18704,                 0.0946,                 1.6771,                 2.2015,                 1.3502,             0.00031109,             0.00031109,             0.00031109
                     60,                 1.4097,                 1.1454,                 1.2376,                0.27164,                0.35465,                0.19244,                0.09954,                 1.6205,                 2.1421,                 1.3093,             0.00030402,             0.00030402,             0.00030402
                     61,                 1.4257,                 1.1467,                  1.236,                0.26469,                 0.3314,                0.18783,                0.09264,                 1.6375,                 2.1554,                 1.3119,             0.00029695,             0.00029695,             0.00029695
                     62,                 1.4238,                 1.1429,                 1.2338,                0.33109,                0.28198,                0.18401,                0.09319,                 1.6561,                 2.2449,                  1.349,             0.00028988,             0.00028988,             0.00028988
                     63,                 1.3912,                 1.1207,                 1.2285,                0.28575,                0.32849,                0.18972,                0.09571,                 1.6727,                 2.2315,                  1.319,             0.00028282,             0.00028282,             0.00028282
                     64,                 1.4093,                 1.1245,                 1.2251,                0.25669,                 0.3314,                0.18342,                0.09523,                 1.6707,                 2.2211,                 1.3312,             0.00027575,             0.00027575,             0.00027575
